user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	translation_table	red_value	warnings
GL_R80_GL56_UP_1_O7.1.2.1.1.contigs	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	61.81	11	0.882723659226	N/A
GL_R18_GL16_UP_2_L19.contigs	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	48.27	11	0.882649834213	N/A
GL_R3_GL5_UP_3_O26.contigs	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	63.12	11	0.881151227994	N/A
GL_R3_GL5_UP_3_O21.contigs	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	62.6	11	0.880543290566	N/A
GL_R19_GL16_UP_3_G13.contigs	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	65.52	11	0.880239252689	N/A
GL_R81_GL56_UP_2_C10.1.2.1.3.contigs	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	17.64	11	0.668669420097	N/A
GL_R80_GL56_UP_1_C7.1.1.1.2.1.contigs	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__;f__;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	28.89	11	0.504342971065	N/A
GL_R56_GL46_UP_1_C22.contigs	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	18.13	11	0.854599496628	N/A
GL_R21_GL16_DN_2_L28_sub.contigs	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	37.48	11	0.690530294255	N/A
GL_R21_GL16_DN_2_L38_sub.contigs	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	37.52	11	0.690517889985	N/A
GL_R68_GL53_UP_2_G20.contigs	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	80.26	11	0.684058020738	N/A
GL_R80_GL56_UP_1_O24.2.contigs	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	59.35	11	0.683715509513	N/A
GL_R1_GL5_UP_1_C20.contigs	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	33.19	11	0.682903407795	N/A
GL_R20_GL16_DN_1_P30.contigs	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	93.02	11	0.681946307953	N/A
GL_R21_GL16_DN_2_P54.contigs	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	92.18	11	0.681726184406	N/A
GL_R21_GL16_DN_2_P58.contigs	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	92.18	11	0.681726184406	N/A
GL_R21_GL16_DN_2_maxbin_res.012.fasta_sub.contigs	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	61.79	11	0.680089997228	N/A
GL_R20_GL16_DN_1_maxbin_res.067.fasta_sub.contigs	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	57.68	11	0.677399227816	N/A
GL_R81_GL56_UP_2_O30.contigs	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	56.29	11	0.675182035524	N/A
GL_R81_GL56_UP_2_O8_sub.contigs	d__Bacteria;p__Armatimonadota;c__Chthonomonadetes;o__Chthonomonadales;f__Chthonomonadaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Armatimonadota;c__;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	53.81	11	0.726884261591	N/A
GL_R81_GL56_UP_2_maxbin_res.120.fasta_sub.contigs	d__Bacteria;p__Armatimonadota;c__BOG-944;o__Capsulimonadales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Armatimonadota;c__;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	61.59	11	0.593283941862	Genome has more than 11.7% of markers with multiple hits
GL_R81_GL56_UP_2_P47.contigs	d__Bacteria;p__Armatimonadota;c__BOG-944;o__Capsulimonadales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Armatimonadota;c__;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	90.3	11	0.588801405167	N/A
GL_R81_GL56_UP_2_maxbin_res.076.fasta_sub.contigs	d__Bacteria;p__Armatimonadota;c__Abditibacteria;o__Abditibacteriales;f__Abditibacteriaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Armatimonadota;c__Abditibacteria;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	66.61	11	0.760411637041	Genome has more than 29.2% of markers with multiple hits
GL_R81_GL56_UP_2_C6.1.1.1.contigs	d__Bacteria;p__Armatimonadota;c__Abditibacteria;o__Abditibacteriales;f__Abditibacteriaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Armatimonadota;c__Abditibacteria;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	24.9	11	0.754313627316	N/A
GL_R80_GL56_UP_1_maxbin_res.020.fasta_sub.contigs	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	18.67	11	0.593182949604	N/A
GL_R20_GL16_DN_1_C5.2.11.2.1.contigs	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	16.35	11	0.589064161499	N/A
GL_R3_GL5_UP_3_maxbin_res.002.fasta_sub.contigs	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Chamaesiphonaceae;g__Chamaesiphon;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Chamaesiphonaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	24.94	11	0.959459072251	N/A
GL_R3_GL5_UP_3_maxbin_res.020.fasta_sub.contigs	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Chamaesiphonaceae;g__Chamaesiphon;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Chamaesiphonaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	44.07	11	0.958229046303	N/A
GL_R3_GL5_UP_3_maxbin_res.020.fasta.contigs	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Chamaesiphonaceae;g__Chamaesiphon;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Chamaesiphonaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	44.19	11	0.957820248843	Genome has more than 10.8% of markers with multiple hits
GL_R1_GL5_UP_1_maxbin_res.006.fasta_sub.contigs	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Chamaesiphonaceae;g__Chamaesiphon;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Chamaesiphonaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	48.77	11	0.956658753613	Genome has more than 10.0% of markers with multiple hits
GL_R2_GL5_UP_2_maxbin_res.003.fasta_sub.contigs	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Chamaesiphonaceae;g__Chamaesiphon;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Chamaesiphonaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	37.2	11	0.95578795033	N/A
GL_R68_GL53_UP_2_maxbin_res.120.fasta_sub.contigs	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Chamaesiphonaceae;g__Chamaesiphon;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Chamaesiphonaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	26.09	11	0.914531928124	Genome has more than 10.0% of markers with multiple hits
